id;name;category;subcategory;uom;moq;spec_ref;short_desc;long_desc;transportation_type;delivery_time_days;fast_moving_score;main_supplier_id;datasheet_url;image_url;last_reviewed_at;created_at;updated_at;scale_price;market_price_min;market_price_avg;market_price_max;cumulative_order_quantity;target_price;material_code
5f05ca28-c119-470e-90eb-aef692be550a;بلوك اسمنتي 15 سم;Blocks;البلوك الاسمنتي;piece;1000;;;Concrete Block A concrete masonry unit (CMU) is one of several precast concrete products that are standard shape 400*200 mm Width 150 mm size and used in building construction.;Crane-assisted Flatbed;2;90;25e4b750-57e9-4d96-b571-64542b76a7f8;;;;2025-10-22 19:13:38.110523+00;2026-01-28 19:13:15.356668+00;1.76;1.615;1.857;2.1;5500;;MAT-BXX-001-01
2c0d584c-8acb-4282-8f40-4223778aa719;بلوك اسمنتي 10 سم ;Blocks;البلوك الاسمنتي;piece;1000;Cement block 40*20*10 cm ;;"Concrete Block A concrete masonry unit (CMU) is one of several precast concrete products that are standard shape 400*200 mm Width 100 mm size and used in building construction.

";Crane-assisted Flatbed;2;90;25e4b750-57e9-4d96-b571-64542b76a7f8;;https://wsbcmvzqjtyueghpsvxr.supabase.co/storage/v1/object/public/material-images/materials/1765567679643-0kk7ni.jpg;;2025-10-22 19:44:56.510297+00;2026-01-28 19:13:15.356668+00;1.628;1.447;1.673;1.9;1000;;MAT-BXX-002-01
3ff01f2f-e95d-444e-8297-58908e8ea5eb;بلوك اسمنتي 20 سم (عادي);Blocks;البلوك الاسمنتي;piece;1000;Cement block 40*20*20 cm ;;;Crane-assisted Flatbed;2;90;22cb340a-4547-4a84-8187-bcb514f01f12;;;;2025-11-11 19:00:38.957923+00;2026-01-28 19:13:15.356668+00;1.949;1.87;2.335;2.8;;;MAT-BXX-003-01
699cf8ec-03e5-4f42-a29b-c3b0fdfb93bf;بلوك اسمنتي 25 سم (عادي);Blocks;البلوك الاسمنتي;piece;1000;Cement block 40*20*25 cm ;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:47:10.674143+00;2026-01-28 19:13:15.356668+00;3.212;3;3.35;3.7;0;;MAT-BXX-004-01
88d6c8a6-69f4-4b7c-93ed-f7f8f6d65d52;بلوك اسمنتي 30 سم (عادي);Blocks;البلوك الاسمنتي;piece;1000;Cement block 40*20*30 cm ;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:48:09.046499+00;2026-01-28 19:13:15.356668+00;3.388;3;3.5;4;0;;MAT-BXX-005-01
4a933886-4ea2-4953-b6fa-44945fea6b27;بلوك اسمنتي 20 سم معزول (سعودي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:50:03.370787+00;2026-01-28 19:13:15.356668+00;3.344;3;3.5;4;0;;MAT-BXX-006-01
01d7e36e-328d-4041-8986-0a895bb696da;بلوك اسمنتي 25 سم معزول (سعودي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:51:06.825953+00;2026-01-28 19:13:15.356668+00;4.092;3;3.5;4;0;;MAT-BXX-007-01
3328562f-c015-4048-8d49-2c02fb25bf6b;بلوك اسمنتي 30 سم معزول (سعودي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:52:47.810878+00;2026-01-28 19:13:15.356668+00;4.268;3;3.5;4;0;;MAT-BXX-008-01
2cd1dcdb-04c8-44e5-948e-545733983210;بلوك اسمنتي 20 سم معزول (أمريكي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:54:04.769579+00;2026-01-28 19:13:15.356668+00;2.464;3;3.5;4;0;;MAT-BXX-009-01
2ef35820-04fa-437d-8377-7ac3c76e5d08;بلوك اسمنتي 25 سم معزول (أمريكي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:55:17.714811+00;2026-01-28 19:13:15.356668+00;3.652;3;3.5;4;0;;MAT-BXX-010-01
c604e848-702c-47e0-b6f9-2fca18db9e81;بلوك اسمنتي 30 سم معزول (أمريكي);Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:56:20.801962+00;2026-01-28 19:13:15.356668+00;3.828;3;3.5;4;0;;MAT-BXX-011-01
d1fdbcfe-5931-4e9e-81a1-8ee5ab412beb;بلوك اسمنتي 10 سم مصمت;Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:57:38.07127+00;2026-01-28 19:13:15.356668+00;2.772;3;3.5;4;0;;MAT-BXX-012-01
08ff07f6-a558-43b6-a7da-9c84382ca82c;بلوك اسمنتي 15 سم مصمت;Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:58:12.777194+00;2026-01-28 19:13:15.356668+00;2.948;3;3.5;4;0;;MAT-BXX-013-01
68ef788d-9095-4206-aa6e-c94e97200fb6;بلوك اسمنتي 20 سم مصمت;Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 19:59:18.528583+00;2026-01-28 19:13:15.356668+00;3.212;3;3.5;4;0;;MAT-BXX-014-01
511aa9a5-1ba0-4692-b5ac-7071239b56ab;بلوك اسمنتي 25 سم مصمت;Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 20:00:03.459903+00;2026-01-28 19:13:15.356668+00;4.224;3;3.5;4;0;;MAT-BXX-015-01
cefc6656-d087-4f68-a04a-15a21233f70d;بلوك اسمنتي 30 سم مصمت;Blocks;البلوك الاسمنتي;piece;1000;;;;Crane-assisted Flatbed;2;;;;;;2025-12-12 20:01:05.466204+00;2026-01-28 19:13:15.356668+00;4.84;3;3.5;4;0;;MAT-BXX-016-01